Variant,Model,RevIN,Loss,HMM,SeqLen,ValMSE,File
Multivariate,NLinear,NoRevIN,Huber,NoHMM,7,72.96929168701172,Sub_Multivariate_NLinear_NoRevIN_Huber_NoHMM_Seq7_MSE73.csv
Multivariate,NLinear,NoRevIN,MSE,NoHMM,7,72.96930694580078,Sub_Multivariate_NLinear_NoRevIN_MSE_NoHMM_Seq7_MSE73.csv
Multivariate,NLinear,NoRevIN,Huber,NoHMM,15,73.03954315185547,Sub_Multivariate_NLinear_NoRevIN_Huber_NoHMM_Seq15_MSE73.csv
Multivariate,NLinear,NoRevIN,MSE,NoHMM,15,73.03959655761719,Sub_Multivariate_NLinear_NoRevIN_MSE_NoHMM_Seq15_MSE73.csv
Univariate,NLinear,NoRevIN,MSE,NoHMM,7,73.57453918457031,Sub_Univariate_NLinear_NoRevIN_MSE_NoHMM_Seq7_MSE74.csv
Univariate,NLinear,NoRevIN,Huber,NoHMM,7,73.57479858398438,Sub_Univariate_NLinear_NoRevIN_Huber_NoHMM_Seq7_MSE74.csv
Multivariate,NLinear,NoRevIN,MSE,NoHMM,60,74.04996490478516,Sub_Multivariate_NLinear_NoRevIN_MSE_NoHMM_Seq60_MSE74.csv
Multivariate,NLinear,NoRevIN,Huber,NoHMM,60,74.05394744873047,Sub_Multivariate_NLinear_NoRevIN_Huber_NoHMM_Seq60_MSE74.csv
Univariate,NLinear,NoRevIN,MAE,NoHMM,7,74.24512481689453,Sub_Univariate_NLinear_NoRevIN_MAE_NoHMM_Seq7_MSE74.csv
Multivariate,NLinear,NoRevIN,MAE,NoHMM,7,74.35470581054688,Sub_Multivariate_NLinear_NoRevIN_MAE_NoHMM_Seq7_MSE74.csv
Univariate,NLinear,NoRevIN,MSE,NoHMM,15,74.38479614257812,Sub_Univariate_NLinear_NoRevIN_MSE_NoHMM_Seq15_MSE74.csv
Univariate,NLinear,NoRevIN,Huber,NoHMM,15,74.3849868774414,Sub_Univariate_NLinear_NoRevIN_Huber_NoHMM_Seq15_MSE74.csv
Multivariate,Linear,RevIN,Huber,NoHMM,60,74.95893096923828,Sub_Multivariate_Linear_RevIN_Huber_NoHMM_Seq60_MSE75.csv
Multivariate,Linear,RevIN,MSE,NoHMM,60,74.96224975585938,Sub_Multivariate_Linear_RevIN_MSE_NoHMM_Seq60_MSE75.csv
Univariate,NLinear,NoRevIN,MAE,NoHMM,15,75.3088607788086,Sub_Univariate_NLinear_NoRevIN_MAE_NoHMM_Seq15_MSE75.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W30,7,76.0244140625,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W30_Seq7_MSE76.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W30,7,76.02535247802734,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W30_Seq7_MSE76.csv
Multivariate,DLinear,RevIN,Huber,NoHMM,60,76.33519744873047,Sub_Multivariate_DLinear_RevIN_Huber_NoHMM_Seq60_MSE76.csv
Multivariate,DLinear,RevIN,MSE,NoHMM,60,76.3421859741211,Sub_Multivariate_DLinear_RevIN_MSE_NoHMM_Seq60_MSE76.csv
Multivariate,NLinear,NoRevIN,MSE,NoHMM,30,76.66485595703125,Sub_Multivariate_NLinear_NoRevIN_MSE_NoHMM_Seq30_MSE77.csv
Multivariate,NLinear,NoRevIN,Huber,NoHMM,30,76.66670989990234,Sub_Multivariate_NLinear_NoRevIN_Huber_NoHMM_Seq30_MSE77.csv
Multivariate,NLinear,NoRevIN,Huber,HMM4W30,7,77.05614471435547,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM4W30_Seq7_MSE77.csv
Multivariate,NLinear,NoRevIN,MSE,HMM4W30,7,77.05895233154297,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM4W30_Seq7_MSE77.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W30,7,77.66019439697266,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W30_Seq7_MSE78.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W30,7,78.59483337402344,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W30_Seq7_MSE79.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W30,7,78.59622955322266,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W30_Seq7_MSE79.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W30,15,78.99823760986328,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W30_Seq15_MSE79.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W30,15,78.99848937988281,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W30_Seq15_MSE79.csv
Multivariate,NLinear,NoRevIN,MAE,NoHMM,15,79.10380554199219,Sub_Multivariate_NLinear_NoRevIN_MAE_NoHMM_Seq15_MSE79.csv
Multivariate,NLinear,NoRevIN,MAE,HMM4W30,7,79.17719268798828,Sub_Multivariate_NLinear_NoRevIN_MAE_HMM4W30_Seq7_MSE79.csv
Univariate,NLinear,NoRevIN,MAE,NoHMM,30,79.18541717529297,Sub_Univariate_NLinear_NoRevIN_MAE_NoHMM_Seq30_MSE79.csv
Univariate,NLinear,NoRevIN,Huber,HMM4W30,7,79.7968521118164,Sub_Univariate_NLinear_NoRevIN_Huber_HMM4W30_Seq7_MSE80.csv
Univariate,NLinear,NoRevIN,MSE,HMM4W30,7,79.79796600341797,Sub_Univariate_NLinear_NoRevIN_MSE_HMM4W30_Seq7_MSE80.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W30,15,79.81523895263672,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W30_Seq15_MSE80.csv
Multivariate,DLinear,RevIN,Huber,HMM4W30,7,80.08675384521484,Sub_Multivariate_DLinear_RevIN_Huber_HMM4W30_Seq7_MSE80.csv
Multivariate,DLinear,RevIN,MSE,HMM4W30,7,80.0938720703125,Sub_Multivariate_DLinear_RevIN_MSE_HMM4W30_Seq7_MSE80.csv
Univariate,NLinear,NoRevIN,MSE,NoHMM,30,80.53284454345703,Sub_Univariate_NLinear_NoRevIN_MSE_NoHMM_Seq30_MSE81.csv
Univariate,NLinear,NoRevIN,Huber,NoHMM,30,80.53302764892578,Sub_Univariate_NLinear_NoRevIN_Huber_NoHMM_Seq30_MSE81.csv
Multivariate,Linear,RevIN,Huber,HMM4W30,7,80.57088470458984,Sub_Multivariate_Linear_RevIN_Huber_HMM4W30_Seq7_MSE81.csv
Multivariate,Linear,RevIN,MSE,HMM4W30,7,80.57257843017578,Sub_Multivariate_Linear_RevIN_MSE_HMM4W30_Seq7_MSE81.csv
Univariate,NLinear,NoRevIN,MAE,HMM4W30,7,81.35123443603516,Sub_Univariate_NLinear_NoRevIN_MAE_HMM4W30_Seq7_MSE81.csv
Multivariate,NLinear,NoRevIN,MAE,HMM3W30,7,81.81855773925781,Sub_Multivariate_NLinear_NoRevIN_MAE_HMM3W30_Seq7_MSE82.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W30,30,82.40410614013672,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W30_Seq30_MSE82.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W30,30,82.40438842773438,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W30_Seq30_MSE82.csv
Univariate,NLinear,NoRevIN,MAE,NoHMM,60,83.16972351074219,Sub_Univariate_NLinear_NoRevIN_MAE_NoHMM_Seq60_MSE83.csv
Univariate,DLinear,RevIN,MSE,HMM4W30,7,83.53204345703125,Sub_Univariate_DLinear_RevIN_MSE_HMM4W30_Seq7_MSE84.csv
Univariate,DLinear,RevIN,Huber,HMM4W30,7,83.53216552734375,Sub_Univariate_DLinear_RevIN_Huber_HMM4W30_Seq7_MSE84.csv
Multivariate,NLinear,NoRevIN,MAE,NoHMM,60,83.80304718017578,Sub_Multivariate_NLinear_NoRevIN_MAE_NoHMM_Seq60_MSE84.csv
Multivariate,DLinear,RevIN,MSE,HMM3W30,7,84.50768280029297,Sub_Multivariate_DLinear_RevIN_MSE_HMM3W30_Seq7_MSE85.csv
Multivariate,DLinear,RevIN,Huber,HMM3W30,7,84.51781463623047,Sub_Multivariate_DLinear_RevIN_Huber_HMM3W30_Seq7_MSE85.csv
Multivariate,Linear,RevIN,MSE,NoHMM,30,84.67611694335938,Sub_Multivariate_Linear_RevIN_MSE_NoHMM_Seq30_MSE85.csv
Multivariate,Linear,RevIN,Huber,NoHMM,30,84.67634582519531,Sub_Multivariate_Linear_RevIN_Huber_NoHMM_Seq30_MSE85.csv
Multivariate,DLinear,RevIN,MSE,NoHMM,30,84.83099365234375,Sub_Multivariate_DLinear_RevIN_MSE_NoHMM_Seq30_MSE85.csv
Multivariate,DLinear,RevIN,Huber,NoHMM,30,84.83666229248047,Sub_Multivariate_DLinear_RevIN_Huber_NoHMM_Seq30_MSE85.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W60,7,84.87049865722656,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W60_Seq7_MSE85.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W30,15,84.95294952392578,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W30_Seq15_MSE85.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W30,15,84.95515441894531,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W30_Seq15_MSE85.csv
Multivariate,Linear,RevIN,MSE,HMM3W30,7,84.99544525146484,Sub_Multivariate_Linear_RevIN_MSE_HMM3W30_Seq7_MSE85.csv
Multivariate,Linear,RevIN,Huber,HMM3W30,7,84.99809265136719,Sub_Multivariate_Linear_RevIN_Huber_HMM3W30_Seq7_MSE85.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W60,7,85.21217346191406,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W60_Seq7_MSE85.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W60,7,85.21372985839844,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W60_Seq7_MSE85.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W30,30,85.60867309570312,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W30_Seq30_MSE86.csv
Univariate,Linear,RevIN,MSE,HMM4W30,7,85.62628936767578,Sub_Univariate_Linear_RevIN_MSE_HMM4W30_Seq7_MSE86.csv
Univariate,Linear,RevIN,Huber,HMM4W30,7,85.62973022460938,Sub_Univariate_Linear_RevIN_Huber_HMM4W30_Seq7_MSE86.csv
Multivariate,Linear,RevIN,Huber,HMM3W30,60,85.72956848144531,Sub_Multivariate_Linear_RevIN_Huber_HMM3W30_Seq60_MSE86.csv
Multivariate,Linear,RevIN,MSE,HMM3W30,60,85.73788452148438,Sub_Multivariate_Linear_RevIN_MSE_HMM3W30_Seq60_MSE86.csv
Multivariate,DLinear,RevIN,MAE,NoHMM,30,86.24793243408203,Sub_Multivariate_DLinear_RevIN_MAE_NoHMM_Seq30_MSE86.csv
Multivariate,NLinear,NoRevIN,MAE,NoHMM,30,86.5215072631836,Sub_Multivariate_NLinear_NoRevIN_MAE_NoHMM_Seq30_MSE87.csv
Univariate,NLinear,NoRevIN,Huber,NoHMM,60,86.58389282226562,Sub_Univariate_NLinear_NoRevIN_Huber_NoHMM_Seq60_MSE87.csv
Univariate,NLinear,NoRevIN,MSE,NoHMM,60,86.58393096923828,Sub_Univariate_NLinear_NoRevIN_MSE_NoHMM_Seq60_MSE87.csv
Multivariate,DLinear,RevIN,MAE,HMM4W30,7,86.9951400756836,Sub_Multivariate_DLinear_RevIN_MAE_HMM4W30_Seq7_MSE87.csv
Multivariate,Linear,RevIN,MAE,NoHMM,30,87.3079605102539,Sub_Multivariate_Linear_RevIN_MAE_NoHMM_Seq30_MSE87.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W60,7,87.63985443115234,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W60_Seq7_MSE88.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W60,7,87.64164733886719,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W60_Seq7_MSE88.csv
Univariate,NLinear,NoRevIN,Huber,NoHMM,120,87.73600769042969,Sub_Univariate_NLinear_NoRevIN_Huber_NoHMM_Seq120_MSE88.csv
Univariate,NLinear,NoRevIN,MSE,NoHMM,120,87.73616790771484,Sub_Univariate_NLinear_NoRevIN_MSE_NoHMM_Seq120_MSE88.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W60,15,87.92618560791016,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W60_Seq15_MSE88.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W60,15,87.9267349243164,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W60_Seq15_MSE88.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W60,15,88.70291900634766,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W60_Seq15_MSE89.csv
Multivariate,Linear,RevIN,MAE,HMM4W30,7,89.17970275878906,Sub_Multivariate_Linear_RevIN_MAE_HMM4W30_Seq7_MSE89.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W60,30,89.21055603027344,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W60_Seq30_MSE89.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W60,30,89.2109603881836,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W60_Seq30_MSE89.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W30,60,89.51831817626953,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W30_Seq60_MSE90.csv
Multivariate,NLinear,NoRevIN,MAE,HMM3W30,15,90.174072265625,Sub_Multivariate_NLinear_NoRevIN_MAE_HMM3W30_Seq15_MSE90.csv
Multivariate,NLinear,NoRevIN,MAE,HMM3W60,7,90.44047546386719,Sub_Multivariate_NLinear_NoRevIN_MAE_HMM3W60_Seq7_MSE90.csv
Multivariate,DLinear,RevIN,MSE,NoHMM,7,90.63001251220703,Sub_Multivariate_DLinear_RevIN_MSE_NoHMM_Seq7_MSE91.csv
Multivariate,DLinear,RevIN,Huber,NoHMM,7,90.63282775878906,Sub_Multivariate_DLinear_RevIN_Huber_NoHMM_Seq7_MSE91.csv
Univariate,DLinear,RevIN,MAE,HMM4W30,7,90.66200256347656,Sub_Univariate_DLinear_RevIN_MAE_HMM4W30_Seq7_MSE91.csv
Multivariate,Linear,RevIN,MSE,NoHMM,7,90.96390533447266,Sub_Multivariate_Linear_RevIN_MSE_NoHMM_Seq7_MSE91.csv
Multivariate,Linear,RevIN,Huber,NoHMM,7,90.96642303466797,Sub_Multivariate_Linear_RevIN_Huber_NoHMM_Seq7_MSE91.csv
Multivariate,Linear,RevIN,Huber,HMM3W30,30,91.51630401611328,Sub_Multivariate_Linear_RevIN_Huber_HMM3W30_Seq30_MSE92.csv
Multivariate,Linear,RevIN,MSE,HMM3W30,30,91.51819610595703,Sub_Multivariate_Linear_RevIN_MSE_HMM3W30_Seq30_MSE92.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W30,60,91.62067413330078,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W30_Seq60_MSE92.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W30,60,91.6210708618164,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W30_Seq60_MSE92.csv
Univariate,NLinear,NoRevIN,MAE,HMM4W30,15,91.75,Sub_Univariate_NLinear_NoRevIN_MAE_HMM4W30_Seq15_MSE92.csv
Multivariate,DLinear,RevIN,MAE,NoHMM,7,91.8592758178711,Sub_Multivariate_DLinear_RevIN_MAE_NoHMM_Seq7_MSE92.csv
Univariate,DLinear,RevIN,MSE,NoHMM,7,92.19883728027344,Sub_Univariate_DLinear_RevIN_MSE_NoHMM_Seq7_MSE92.csv
Univariate,DLinear,RevIN,Huber,NoHMM,7,92.2005844116211,Sub_Univariate_DLinear_RevIN_Huber_NoHMM_Seq7_MSE92.csv
Univariate,Linear,RevIN,MSE,NoHMM,7,92.20478820800781,Sub_Univariate_Linear_RevIN_MSE_NoHMM_Seq7_MSE92.csv
Univariate,Linear,RevIN,Huber,NoHMM,7,92.2059555053711,Sub_Univariate_Linear_RevIN_Huber_NoHMM_Seq7_MSE92.csv
Multivariate,DLinear,RevIN,Huber,HMM3W30,30,92.3603744506836,Sub_Multivariate_DLinear_RevIN_Huber_HMM3W30_Seq30_MSE92.csv
Multivariate,DLinear,RevIN,MSE,HMM3W30,30,92.36357879638672,Sub_Multivariate_DLinear_RevIN_MSE_HMM3W30_Seq30_MSE92.csv
Multivariate,Linear,RevIN,MAE,HMM3W30,7,92.4806137084961,Sub_Multivariate_Linear_RevIN_MAE_HMM3W30_Seq7_MSE92.csv
Multivariate,DLinear,RevIN,Huber,HMM3W30,15,92.62593841552734,Sub_Multivariate_DLinear_RevIN_Huber_HMM3W30_Seq15_MSE93.csv
Multivariate,DLinear,RevIN,MSE,HMM3W30,15,92.63003540039062,Sub_Multivariate_DLinear_RevIN_MSE_HMM3W30_Seq15_MSE93.csv
Multivariate,Linear,RevIN,MAE,NoHMM,7,92.630859375,Sub_Multivariate_Linear_RevIN_MAE_NoHMM_Seq7_MSE93.csv
Univariate,Linear,RevIN,MAE,HMM4W30,7,92.84857940673828,Sub_Univariate_Linear_RevIN_MAE_HMM4W30_Seq7_MSE93.csv
Multivariate,DLinear,RevIN,MSE,NoHMM,15,92.9479751586914,Sub_Multivariate_DLinear_RevIN_MSE_NoHMM_Seq15_MSE93.csv
Multivariate,DLinear,RevIN,Huber,NoHMM,15,93.0430908203125,Sub_Multivariate_DLinear_RevIN_Huber_NoHMM_Seq15_MSE93.csv
Univariate,NLinear,NoRevIN,Huber,HMM4W30,15,93.0639877319336,Sub_Univariate_NLinear_NoRevIN_Huber_HMM4W30_Seq15_MSE93.csv
Univariate,NLinear,NoRevIN,MSE,HMM4W30,15,93.06482696533203,Sub_Univariate_NLinear_NoRevIN_MSE_HMM4W30_Seq15_MSE93.csv
Univariate,DLinear,RevIN,MSE,NoHMM,15,93.12213897705078,Sub_Univariate_DLinear_RevIN_MSE_NoHMM_Seq15_MSE93.csv
Univariate,DLinear,RevIN,Huber,NoHMM,15,93.12327575683594,Sub_Univariate_DLinear_RevIN_Huber_NoHMM_Seq15_MSE93.csv
Multivariate,DLinear,RevIN,MAE,HMM3W30,30,93.25724029541016,Sub_Multivariate_DLinear_RevIN_MAE_HMM3W30_Seq30_MSE93.csv
Univariate,Linear,RevIN,MSE,NoHMM,15,93.25993347167969,Sub_Univariate_Linear_RevIN_MSE_NoHMM_Seq15_MSE93.csv
Univariate,Linear,RevIN,Huber,NoHMM,15,93.26118469238281,Sub_Univariate_Linear_RevIN_Huber_NoHMM_Seq15_MSE93.csv
Univariate,DLinear,RevIN,MAE,NoHMM,7,93.32819366455078,Sub_Univariate_DLinear_RevIN_MAE_NoHMM_Seq7_MSE93.csv
Multivariate,Linear,RevIN,Huber,HMM3W30,15,93.44112396240234,Sub_Multivariate_Linear_RevIN_Huber_HMM3W30_Seq15_MSE93.csv
Multivariate,Linear,RevIN,MSE,HMM3W30,15,93.4411392211914,Sub_Multivariate_Linear_RevIN_MSE_HMM3W30_Seq15_MSE93.csv
Univariate,Linear,RevIN,MAE,NoHMM,7,93.57881927490234,Sub_Univariate_Linear_RevIN_MAE_NoHMM_Seq7_MSE94.csv
Univariate,NLinear,NoRevIN,MAE,NoHMM,120,93.6446533203125,Sub_Univariate_NLinear_NoRevIN_MAE_NoHMM_Seq120_MSE94.csv
Multivariate,Linear,RevIN,MAE,HMM3W30,30,93.76830291748047,Sub_Multivariate_Linear_RevIN_MAE_HMM3W30_Seq30_MSE94.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W30,30,93.7947769165039,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W30_Seq30_MSE94.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W30,30,93.79740142822266,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W30_Seq30_MSE94.csv
Multivariate,Linear,RevIN,Huber,NoHMM,15,93.93419647216797,Sub_Multivariate_Linear_RevIN_Huber_NoHMM_Seq15_MSE94.csv
Multivariate,Linear,RevIN,MSE,NoHMM,15,93.93568420410156,Sub_Multivariate_Linear_RevIN_MSE_NoHMM_Seq15_MSE94.csv
Univariate,Linear,NoRevIN,Huber,HMM3W30,15,94.07357788085938,Sub_Univariate_Linear_NoRevIN_Huber_HMM3W30_Seq15_MSE94.csv
Univariate,Linear,RevIN,MSE,HMM3W60,60,94.1805419921875,Sub_Univariate_Linear_RevIN_MSE_HMM3W60_Seq60_MSE94.csv
Univariate,Linear,RevIN,Huber,HMM3W60,60,94.18136596679688,Sub_Univariate_Linear_RevIN_Huber_HMM3W60_Seq60_MSE94.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W60,30,94.50373840332031,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W60_Seq30_MSE95.csv
Multivariate,DLinear,RevIN,MAE,HMM3W30,7,94.51271057128906,Sub_Multivariate_DLinear_RevIN_MAE_HMM3W30_Seq7_MSE95.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W60,15,94.98011779785156,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W60_Seq15_MSE95.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W60,15,94.98230743408203,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W60_Seq15_MSE95.csv
