experiment,gpu,epoch,loss,train_acc,test_acc
Exp0_ViT,0,1,3.3274,0.2189,0.402
Exp0_ViT,0,2,1.2904,0.651,0.6255
Exp0_ViT,0,3,0.7474,0.791,0.6471
Exp0_ViT,0,4,0.4948,0.8636,0.6627
Exp0_ViT,0,5,0.3272,0.9138,0.6725
Exp0_ViT,0,6,0.2261,0.9455,0.6765
Exp0_ViT,0,7,0.1442,0.9696,0.6882
Exp0_ViT,0,8,0.1028,0.9816,0.6961
Exp0_ViT,0,9,0.0771,0.9881,0.6922
Exp0_ViT,0,10,0.0694,0.9909,0.6922
Exp1_VideoMAE,1,1,3.0612,0.3117,0.6549
Exp1_VideoMAE,1,2,0.9255,0.8186,0.7824
Exp1_VideoMAE,1,3,0.4535,0.8979,0.798
Exp1_VideoMAE,1,4,0.2639,0.9446,0.8137
Exp1_VideoMAE,1,5,0.1764,0.963,0.8176
Exp1_VideoMAE,1,6,0.108,0.9777,0.8137
Exp1_VideoMAE,1,7,0.0778,0.9859,0.8373
Exp1_VideoMAE,1,8,0.0562,0.9889,0.8314
Exp1_VideoMAE,1,9,0.043,0.9918,0.8412
Exp1_VideoMAE,1,10,0.0374,0.9933,0.8392
Exp1b_LR_High,1,1,2.4342,0.4534,0.7216
Exp1b_LR_High,1,2,0.6726,0.83,0.7549
Exp1b_LR_High,1,3,0.4198,0.8872,0.8137
Exp1b_LR_High,1,4,0.257,0.9314,0.8157
Exp1b_LR_High,1,5,0.1831,0.9505,0.8059
Exp1b_LR_High,1,6,0.1027,0.9737,0.8137
Exp1b_LR_High,1,7,0.0674,0.9824,0.8137
Exp1b_LR_High,1,8,0.0433,0.9893,0.8196
Exp1b_LR_High,1,9,0.0256,0.9944,0.8196
Exp1b_LR_High,1,10,0.0247,0.9947,0.8157
Exp2_Consistent,0,1,3.0315,0.3207,0.6804
Exp2_Consistent,0,2,0.8644,0.8369,0.7667
Exp2_Consistent,0,3,0.3607,0.9271,0.8
Exp2_Consistent,0,4,0.178,0.9652,0.8255
Exp2_Consistent,0,5,0.0959,0.983,0.8294
Exp2_Consistent,0,6,0.0434,0.9938,0.8333
Exp2_Consistent,0,7,0.02,0.9979,0.8353
Exp2_Consistent,0,8,0.0128,0.9989,0.8392
Exp2_Consistent,0,9,0.0097,0.9994,0.8431
Exp2_Consistent,0,10,0.0085,0.9997,0.8431
Exp3_MultiSeg,1,1,3.0649,0.3083,0.6333
Exp3_MultiSeg,1,2,0.9255,0.8191,0.7725
Exp3_MultiSeg,1,3,0.4555,0.8954,0.7922
Exp3_MultiSeg,1,4,0.2591,0.946,0.8255
Exp3_MultiSeg,1,5,0.1763,0.9612,0.8118
Exp3_MultiSeg,1,6,0.1058,0.9788,0.8255
Exp3_MultiSeg,1,7,0.0773,0.9851,0.8392
Exp3_MultiSeg,1,8,0.0553,0.9893,0.8471
Exp3_MultiSeg,1,9,0.0434,0.9928,0.851
Exp3_MultiSeg,1,10,0.0381,0.9938,0.851
Exp4_Mixup,0,1,3.331,0.2564,0.6412
Exp4_Mixup,0,2,1.7567,0.7131,0.7784
Exp4_Mixup,0,3,1.3075,0.7708,0.7902
Exp4_Mixup,0,4,1.1181,0.8252,0.802
Exp4_Mixup,0,5,0.9992,0.8399,0.8157
Exp4_Mixup,0,6,0.8905,0.8688,0.8157
Exp4_Mixup,0,7,0.8846,0.8551,0.8275
Exp4_Mixup,0,8,0.825,0.8691,0.8275
Exp4_Mixup,0,9,0.7654,0.8875,0.8255
Exp4_Mixup,0,10,0.7813,0.8771,0.8255
Exp5_LabelSmooth,1,1,3.1474,0.3252,0.6804
Exp5_LabelSmooth,1,2,1.3342,0.8396,0.7725
Exp5_LabelSmooth,1,3,0.9675,0.9282,0.8
Exp5_LabelSmooth,1,4,0.8383,0.9692,0.8157
Exp5_LabelSmooth,1,5,0.7778,0.9862,0.8235
Exp5_LabelSmooth,1,6,0.7442,0.9947,0.8314
Exp5_LabelSmooth,1,7,0.7263,0.9982,0.8373
Exp5_LabelSmooth,1,8,0.7201,0.9986,0.8412
Exp5_LabelSmooth,1,9,0.7167,0.9994,0.8471
Exp5_LabelSmooth,1,10,0.7159,0.9997,0.8471
Exp6_2Stage,0,1,3.3317,0.258,0.6471
Exp6_2Stage,0,2,1.756,0.7107,0.7627
Exp6_2Stage,0,3,1.3065,0.7707,0.7902
Exp6_2Stage,0,4,1.1158,0.8231,0.8078
Exp6_2Stage,0,5,0.9969,0.8383,0.8118
Exp6_2Stage,0,6,0.8899,0.8694,0.8157
Exp6_2Stage,0,7,0.8852,0.853,0.8235
Exp6_2Stage,0,8,0.8222,0.8716,0.8235
Exp6_2Stage,0,9,0.766,0.8889,0.8314
Exp6_2Stage,0,10,0.7773,0.8808,0.8314
Exp7_FlipTTA,1,1,3.3309,0.2551,0.6471
Exp7_FlipTTA,1,2,1.7545,0.7107,0.7863
Exp7_FlipTTA,1,3,1.3102,0.7673,0.7843
Exp7_FlipTTA,1,4,1.1135,0.8255,0.8137
Exp7_FlipTTA,1,5,0.9957,0.8394,0.8294
Exp7_FlipTTA,1,6,0.89,0.8742,0.8255
Exp7_FlipTTA,1,7,0.8868,0.8554,0.8294
Exp7_FlipTTA,1,8,0.8248,0.8678,0.8451
Exp7_FlipTTA,1,9,0.7666,0.8881,0.8431
Exp8_LR_High,0,1,2.8739,0.3864,0.7157
Exp8_LR_High,0,2,1.5433,0.7213,0.7471
Exp8_LR_High,0,3,1.2619,0.7726,0.7784
Exp8_LR_High,0,4,1.1056,0.8213,0.802
Exp8_LR_High,0,5,0.9831,0.8452,0.7961
Exp8_LR_High,0,6,0.864,0.8712,0.8059
Exp8_LR_High,0,7,0.8365,0.8495,0.8235
Exp8_LR_High,0,8,0.7585,0.8769,0.8176
